Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,Clearing Fee,Exchange Fee,IP Fee,NFA Fee,MAE,MFE,ETD,Bars,
236,NQ MAR26,Backtest,ThirtyFour,Long,1,25662.00,25647.50,1/30/2026 1:29:00 PM,1/30/2026 1:30:00 PM,LongEntry,ExitLong_ReCross,($295.76),$27065.64,$5.76,$0.00,$0.00,$0.00,$0.00,$290.00,$0.00,$295.76,2,
237,NQ MAR26,Backtest,ThirtyFour,Long,1,25645.00,25716.25,1/30/2026 1:47:00 PM,1/30/2026 1:54:29 PM,LongEntry,ExitLong_TP,$1419.24,$28484.88,$5.76,$0.00,$0.00,$0.00,$0.00,$0.00,$1430.00,$10.76,9,
238,NQ MAR26,Backtest,ThirtyFour,Long,1,25349.50,25339.00,2/4/2026 9:13:00 AM,2/4/2026 9:19:00 AM,LongEntry,ExitLong_ReCross,($215.76),$28269.12,$5.76,$0.00,$0.00,$0.00,$0.00,$230.00,$55.00,$270.76,7,
239,NQ MAR26,Backtest,ThirtyFour,Long,1,25347.25,25338.50,2/4/2026 9:20:00 AM,2/4/2026 9:22:00 AM,LongEntry,ExitLong_ReCross,($180.76),$28088.36,$5.76,$0.00,$0.00,$0.00,$0.00,$225.00,$0.00,$180.76,3,
240,NQ MAR26,Backtest,ThirtyFour,Long,1,25000.00,24931.75,2/4/2026 11:57:00 AM,2/4/2026 12:27:01 PM,LongEntry,ExitLong_SL,($1370.76),$26717.60,$5.76,$0.00,$0.00,$0.00,$0.00,$1365.00,$1150.00,$2520.76,32,
241,NQ MAR26,Backtest,ThirtyFour,Long,1,24844.75,24955.50,2/4/2026 12:56:00 PM,2/4/2026 1:58:00 PM,LongEntry,ExitLong_TP,$2209.24,$28926.84,$5.76,$0.00,$0.00,$0.00,$0.00,$515.00,$2215.00,$5.76,64,
242,NQ MAR26,Backtest,ThirtyFour,Long,1,24792.50,24858.50,2/5/2026 8:01:00 AM,2/5/2026 8:38:01 AM,LongEntry,ExitLong_TP,$1314.24,$30241.08,$5.76,$0.00,$0.00,$0.00,$0.00,$590.00,$1320.00,$5.76,39,
243,NQ MAR26,Backtest,ThirtyFour,Short,1,24840.25,24778.00,2/6/2026 7:02:00 AM,2/6/2026 9:25:28 AM,ShortEntry,ExitShort_TP,$1239.24,$31480.32,$5.76,$0.00,$0.00,$0.00,$0.00,$405.00,$1640.00,$400.76,145,
244,NQ MAR26,Backtest,ThirtyFour,Short,1,25392.75,25371.00,2/10/2026 7:38:00 AM,2/10/2026 7:40:58 AM,ShortEntry,ExitShort_TP,$429.24,$31909.56,$5.76,$0.00,$0.00,$0.00,$0.00,$0.00,$435.00,$5.76,4,
245,NQ MAR26,Backtest,ThirtyFour,Long,1,25266.50,25259.75,2/10/2026 3:21:00 PM,2/10/2026 3:25:00 PM,LongEntry,ExitLong_ReCross,($140.76),$31768.80,$5.76,$0.00,$0.00,$0.00,$0.00,$140.00,$175.00,$315.76,5,
246,NQ MAR26,Backtest,ThirtyFour,Long,1,25265.25,25248.25,2/10/2026 3:32:00 PM,2/10/2026 3:34:00 PM,LongEntry,ExitLong_ReCross,($345.76),$31423.04,$5.76,$0.00,$0.00,$0.00,$0.00,$365.00,$5.00,$350.76,3,
247,NQ MAR26,Backtest,ThirtyFour,Long,1,25259.75,25233.25,2/10/2026 3:48:00 PM,2/10/2026 3:52:00 PM,LongEntry,ExitLong_ReCross,($535.76),$30887.28,$5.76,$0.00,$0.00,$0.00,$0.00,$600.00,$120.00,$655.76,5,
248,NQ MAR26,Backtest,ThirtyFour,Long,1,25231.50,25254.75,2/10/2026 4:05:00 PM,2/10/2026 4:59:00 PM,LongEntry,ExitLong_Sess,$459.24,$31346.52,$5.76,$0.00,$0.00,$0.00,$0.00,$110.00,$510.00,$50.76,56,
249,NQ MAR26,Backtest,ThirtyFour,Short,1,24939.00,24946.75,2/13/2026 1:01:00 PM,2/13/2026 1:02:00 PM,ShortEntry,ExitShort_ReCross,($160.76),$31185.76,$5.76,$0.00,$0.00,$0.00,$0.00,$155.00,$0.00,$160.76,2,
250,NQ MAR26,Backtest,ThirtyFour,Short,1,24947.25,24962.75,2/13/2026 1:21:00 PM,2/13/2026 1:22:00 PM,ShortEntry,ExitShort_ReCross,($315.76),$30870.00,$5.76,$0.00,$0.00,$0.00,$0.00,$310.00,$0.00,$315.76,2,
251,NQ MAR26,Backtest,ThirtyFour,Short,1,24955.75,24976.50,2/13/2026 1:27:00 PM,2/13/2026 1:30:00 PM,ShortEntry,ExitShort_ReCross,($420.76),$30449.24,$5.76,$0.00,$0.00,$0.00,$0.00,$440.00,$90.00,$510.76,4,
252,NQ MAR26,Backtest,ThirtyFour,Short,1,24955.00,24971.75,2/13/2026 1:31:00 PM,2/13/2026 1:33:00 PM,ShortEntry,ExitShort_ReCross,($340.76),$30108.48,$5.76,$0.00,$0.00,$0.00,$0.00,$360.00,$45.00,$385.76,3,
253,NQ MAR26,Backtest,ThirtyFour,Short,1,24955.25,24975.50,2/13/2026 1:43:00 PM,2/13/2026 1:48:00 PM,ShortEntry,ExitShort_ReCross,($410.76),$29697.72,$5.76,$0.00,$0.00,$0.00,$0.00,$460.00,$270.00,$680.76,6,
254,NQ MAR26,Backtest,ThirtyFour,Short,1,24959.75,24893.25,2/13/2026 1:51:00 PM,2/13/2026 2:41:49 PM,ShortEntry,ExitShort_TP,$1324.24,$31021.96,$5.76,$0.00,$0.00,$0.00,$0.00,$175.00,$1330.00,$5.76,52,
255,NQ MAR26,Backtest,ThirtyFour,Short,1,24863.75,24784.25,2/17/2026 2:49:00 PM,2/17/2026 3:22:26 PM,ShortEntry,ExitShort_TP,$1584.24,$32606.20,$5.76,$0.00,$0.00,$0.00,$0.00,$5.00,$1590.00,$5.76,35,
256,NQ MAR26,Backtest,ThirtyFour,Long,1,24831.75,24812.25,2/20/2026 7:13:00 AM,2/20/2026 7:21:00 AM,LongEntry,ExitLong_ReCross,($395.76),$32210.44,$5.76,$0.00,$0.00,$0.00,$0.00,$425.00,$355.00,$750.76,9,
257,NQ MAR26,Backtest,ThirtyFour,Long,1,24817.25,24804.25,2/20/2026 7:38:00 AM,2/20/2026 7:41:00 AM,LongEntry,ExitLong_ReCross,($265.76),$31944.68,$5.76,$0.00,$0.00,$0.00,$0.00,$345.00,$10.00,$275.76,4,
258,NQ MAR26,Backtest,ThirtyFour,Long,1,24807.75,24805.50,2/20/2026 7:50:00 AM,2/20/2026 7:51:00 AM,LongEntry,ExitLong_ReCross,($50.76),$31893.92,$5.76,$0.00,$0.00,$0.00,$0.00,$45.00,$0.00,$50.76,2,
259,NQ MAR26,Backtest,ThirtyFour,Long,1,24811.75,24844.75,2/20/2026 7:53:00 AM,2/20/2026 8:18:49 AM,LongEntry,ExitLong_TP,$654.24,$32548.16,$5.76,$0.00,$0.00,$0.00,$0.00,$65.00,$660.00,$5.76,27,
260,NQ MAR26,Backtest,ThirtyFour,Long,1,24711.50,24782.75,2/23/2026 11:20:00 AM,2/23/2026 11:30:37 AM,LongEntry,ExitLong_TP,$1419.24,$33967.40,$5.76,$0.00,$0.00,$0.00,$0.00,$15.00,$1430.00,$10.76,12,
261,NQ MAR26,Backtest,ThirtyFour,Short,1,25129.25,25138.75,2/25/2026 7:32:00 AM,2/25/2026 7:36:00 AM,ShortEntry,ExitShort_ReCross,($195.76),$33771.64,$5.76,$0.00,$0.00,$0.00,$0.00,$245.00,$70.00,$265.76,5,
262,NQ MAR26,Backtest,ThirtyFour,Short,1,25133.75,25139.75,2/25/2026 7:42:00 AM,2/25/2026 7:52:00 AM,ShortEntry,ExitShort_ReCross,($125.76),$33645.88,$5.76,$0.00,$0.00,$0.00,$0.00,$170.00,$140.00,$265.76,11,
263,NQ MAR26,Backtest,ThirtyFour,Short,1,25134.00,25144.25,2/25/2026 7:58:00 AM,2/25/2026 8:05:00 AM,ShortEntry,ExitShort_ReCross,($210.76),$33435.12,$5.76,$0.00,$0.00,$0.00,$0.00,$260.00,$35.00,$245.76,8,
264,NQ MAR26,Backtest,ThirtyFour,Short,1,25140.25,25147.50,2/25/2026 8:11:00 AM,2/25/2026 8:13:00 AM,ShortEntry,ExitShort_ReCross,($150.76),$33284.36,$5.76,$0.00,$0.00,$0.00,$0.00,$155.00,$0.00,$150.76,3,
265,NQ MAR26,Backtest,ThirtyFour,Short,1,25141.25,25156.50,2/25/2026 8:18:00 AM,2/25/2026 8:57:00 AM,ShortEntry,ExitShort_ReCross,($310.76),$32973.60,$5.76,$0.00,$0.00,$0.00,$0.00,$360.00,$350.00,$660.76,40,
266,NQ MAR26,Backtest,ThirtyFour,Long,1,24918.75,24907.50,2/27/2026 8:23:00 AM,2/27/2026 8:24:00 AM,LongEntry,ExitLong_ReCross,($230.76),$32742.84,$5.76,$0.00,$0.00,$0.00,$0.00,$225.00,$0.00,$230.76,2,
267,NQ MAR26,Backtest,ThirtyFour,Long,1,24841.75,24802.00,2/27/2026 8:48:00 AM,2/27/2026 9:27:47 AM,LongEntry,ExitLong_SL,($800.76),$31942.08,$5.76,$0.00,$0.00,$0.00,$0.00,$795.00,$750.00,$1550.76,41,
