Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
48,Exit short,2025-05-16 08:00,Exit Short,42476,1,212620,240,0.11,240,0.11,-185,-0.09,2435,0.00
48,Entry short,2025-05-16 05:00,Short trade,42524,1,212620,240,0.11,240,0.11,-185,-0.09,2435,0.00
49,Exit long,2025-05-19 03:00,Exit Long,42400,1,211755,245,0.12,245,0.12,0,0.00,2680,0.00
49,Entry long,2025-05-19 03:00,Long trade,42351,1,211755,245,0.12,245,0.12,0,0.00,2680,0.00
50,Exit short,2025-05-19 08:00,Exit Short,42431,1,212390,235,0.11,235,0.11,-190,-0.09,2915,0.00
50,Entry short,2025-05-19 07:30,Short trade,42478,1,212390,235,0.11,235,0.11,-190,-0.09,2915,0.00
51,Exit long,2025-05-21 06:15,Exit Long,42451,1,212000,255,0.12,255,0.12,-110,-0.05,3170,0.00
51,Entry long,2025-05-21 06:00,Long trade,42400,1,212000,255,0.12,255,0.12,-110,-0.05,3170,0.00
52,Exit long,2025-05-22 07:30,Exit Long,41782,1,208660,250,0.12,250,0.12,-190,-0.09,3420,0.00
52,Entry long,2025-05-22 07:00,Long trade,41732,1,208660,250,0.12,250,0.12,-190,-0.09,3420,0.00
53,Exit long,2025-05-23 04:30,Exit Long,41861,1,209045,260,0.12,260,0.12,0,0.00,3680,0.00
53,Entry long,2025-05-23 04:30,Long trade,41809,1,209045,260,0.12,260,0.12,0,0.00,3680,0.00
54,Exit long,2025-05-23 06:45,Exit Long,41503,1,207740,-225,-0.11,25,0.01,-225,-0.11,3455,0.00
54,Entry long,2025-05-23 06:45,Long trade,41548,1,207740,-225,-0.11,25,0.01,-225,-0.11,3455,0.00
55,Exit long,2025-05-23 07:15,Exit Long,41354,1,206525,245,0.12,245,0.12,-30,-0.01,3700,0.00
55,Entry long,2025-05-23 07:15,Long trade,41305,1,206525,245,0.12,245,0.12,-30,-0.01,3700,0.00
56,Exit short,2025-05-26 04:30,Exit Short,42091,1,210725,270,0.13,270,0.13,-140,-0.07,3970,0.00
56,Entry short,2025-05-26 03:00,Short trade,42145,1,210725,270,0.13,270,0.13,-140,-0.07,3970,0.00
57,Exit short,2025-05-27 06:30,Exit Short,42244,1,210965,-255,-0.12,95,0.05,-255,-0.12,3715,0.00
57,Entry short,2025-05-27 06:00,Short trade,42193,1,210965,-255,-0.12,95,0.05,-255,-0.12,3715,0.00
58,Exit long,2025-06-02 02:30,Exit Long,42034,1,209920,250,0.12,250,0.12,-30,-0.01,3965,0.00
58,Entry long,2025-06-02 02:30,Long trade,41984,1,209920,250,0.12,250,0.12,-30,-0.01,3965,0.00
59,Exit long,2025-06-03 04:15,Exit Long,42204,1,210760,260,0.12,260,0.12,-140,-0.07,4225,0.00
59,Entry long,2025-06-03 02:45,Long trade,42152,1,210760,260,0.12,260,0.12,-140,-0.07,4225,0.00
60,Exit short,2025-06-04 07:15,Exit Short,42617,1,213310,225,0.11,225,0.11,-95,-0.04,4450,0.00
60,Entry short,2025-06-04 03:30,Short trade,42662,1,213310,225,0.11,225,0.11,-95,-0.04,4450,0.00
61,Exit short,2025-06-05 05:30,Exit Short,42522,1,212870,260,0.12,260,0.12,-175,-0.08,4710,0.00
61,Entry short,2025-06-05 03:15,Short trade,42574,1,212870,260,0.12,260,0.12,-175,-0.08,4710,0.00
62,Exit short,2025-06-06 05:30,Exit Short,42491,1,212725,270,0.13,270,0.13,-100,-0.05,4980,0.00
62,Entry short,2025-06-06 02:30,Short trade,42545,1,212725,270,0.13,270,0.13,-100,-0.05,4980,0.00
63,Exit long,2025-06-10 03:00,Exit Long,42704,1,213770,-250,-0.12,20,0.01,-250,-0.12,4730,0.00
63,Entry long,2025-06-10 03:00,Long trade,42754,1,213770,-250,-0.12,20,0.01,-250,-0.12,4730,0.00
64,Exit long,2025-06-10 05:00,Exit Long,42770,1,213610,240,0.11,240,0.11,-25,-0.01,4970,0.00
64,Entry long,2025-06-10 03:30,Long trade,42722,1,213610,240,0.11,240,0.11,-25,-0.01,4970,0.00
65,Exit short,2025-06-11 08:15,Close entry(s) order Short trade,42952,1,214840,80,0.04,210,0.10,-85,-0.04,5050,0.01
65,Entry short,2025-06-11 08:00,Short trade,42968,1,214840,80,0.04,210,0.10,-85,-0.04,5050,0.01
66,Exit long,2025-06-12 04:15,Exit Long,42636,1,213450,-270,-0.13,85,0.04,-270,-0.13,4780,0.00
66,Entry long,2025-06-12 04:00,Long trade,42690,1,213450,-270,-0.13,85,0.04,-270,-0.13,4780,0.00
67,Exit long,2025-06-12 07:30,Exit Long,42685,1,213170,255,0.12,255,0.12,-240,-0.11,5035,0.01
67,Entry long,2025-06-12 06:00,Long trade,42634,1,213170,255,0.12,255,0.12,-240,-0.11,5035,0.01
68,Exit short,2025-06-16 03:30,Exit Short,42728,1,213390,-250,-0.12,30,0.01,-250,-0.12,4785,0.00
68,Entry short,2025-06-16 03:15,Short trade,42678,1,213390,-250,-0.12,30,0.01,-250,-0.12,4785,0.00
69,Exit short,2025-06-18 02:30,Exit Short,42649,1,213010,-235,-0.11,20,0.01,-235,-0.11,4550,0.00
69,Entry short,2025-06-18 02:00,Short trade,42602,1,213010,-235,-0.11,20,0.01,-235,-0.11,4550,0.00
70,Exit short,2025-06-18 05:15,Exit Short,42575,1,213140,265,0.12,265,0.12,-215,-0.10,4815,0.00
70,Entry short,2025-06-18 03:00,Short trade,42628,1,213140,265,0.12,265,0.12,-215,-0.10,4815,0.00
71,Exit long,2025-06-19 06:15,Exit Long,42288,1,211695,-255,-0.12,220,0.10,-255,-0.12,4560,0.00
71,Entry long,2025-06-19 03:30,Long trade,42339,1,211695,-255,-0.12,220,0.10,-255,-0.12,4560,0.00
72,Exit long,2025-06-19 08:15,Close entry(s) order Long trade,42236,1,211215,-35,-0.02,10,0.00,-210,-0.10,4525,0.00
72,Entry long,2025-06-19 07:45,Long trade,42243,1,211215,-35,-0.02,10,0.00,-210,-0.10,4525,0.00
73,Exit short,2025-06-20 03:30,Exit Short,42444,1,212485,265,0.12,265,0.12,-35,-0.02,4790,0.00
73,Entry short,2025-06-20 03:15,Short trade,42497,1,212485,265,0.12,265,0.12,-35,-0.02,4790,0.00
74,Exit short,2025-06-20 06:45,Exit Short,42592,1,212730,-230,-0.11,100,0.05,-230,-0.11,4560,0.00
74,Entry short,2025-06-20 06:45,Short trade,42546,1,212730,-230,-0.11,100,0.05,-230,-0.11,4560,0.00
75,Exit short,2025-06-23 02:15,Exit Short,42453,1,212490,225,0.11,225,0.11,-20,-0.01,4785,0.00
75,Entry short,2025-06-23 02:15,Short trade,42498,1,212490,225,0.11,225,0.11,-20,-0.01,4785,0.00
76,Exit short,2025-06-23 06:00,Exit Short,42497,1,212755,270,0.13,270,0.13,-190,-0.09,5055,0.01
76,Entry short,2025-06-23 04:15,Short trade,42551,1,212755,270,0.13,270,0.13,-190,-0.09,5055,0.01
77,Exit short,2025-06-24 02:30,Exit Short,43180,1,216160,260,0.12,260,0.12,-15,-0.01,5315,0.01
77,Entry short,2025-06-24 02:30,Short trade,43232,1,216160,260,0.12,260,0.12,-15,-0.01,5315,0.01
78,Exit short,2025-06-26 05:30,Exit Short,43433,1,216930,-235,-0.11,55,0.03,-235,-0.11,5080,0.01
78,Entry short,2025-06-26 02:45,Short trade,43386,1,216930,-235,-0.11,55,0.03,-235,-0.11,5080,0.01
79,Exit short,2025-06-27 08:15,Close entry(s) order Short trade,43834,1,219240,70,0.03,200,0.09,-220,-0.10,5150,0.01
79,Entry short,2025-06-27 02:15,Short trade,43848,1,219240,70,0.03,200,0.09,-220,-0.10,5150,0.01
80,Exit short,2025-07-03 08:15,Close entry(s) order Short trade,44841,1,224265,60,0.03,215,0.10,-50,-0.02,5210,0.01
80,Entry short,2025-07-03 07:45,Short trade,44853,1,224265,60,0.03,215,0.10,-50,-0.02,5210,0.01
81,Exit short,2025-07-07 04:45,Exit Short,45082,1,225165,-245,-0.11,165,0.07,-245,-0.11,4965,0.00
81,Entry short,2025-07-07 03:30,Short trade,45033,1,225165,-245,-0.11,165,0.07,-245,-0.11,4965,0.00
82,Exit short,2025-07-07 08:15,Close entry(s) order Short trade,45007,1,225170,135,0.06,200,0.09,-45,-0.02,5100,0.01
82,Entry short,2025-07-07 08:00,Short trade,45034,1,225170,135,0.06,200,0.09,-45,-0.02,5100,0.01
83,Exit long,2025-07-11 04:45,Exit Long,44603,1,223265,-250,-0.11,165,0.07,-250,-0.11,4850,0.00
83,Entry long,2025-07-11 03:15,Long trade,44653,1,223265,-250,-0.11,165,0.07,-250,-0.11,4850,0.00
84,Exit long,2025-07-11 06:45,Exit Long,44663,1,223060,255,0.11,255,0.11,-25,-0.01,5105,0.01
84,Entry long,2025-07-11 06:15,Long trade,44612,1,223060,255,0.11,255,0.11,-25,-0.01,5105,0.01
85,Exit long,2025-07-14 02:30,Exit Long,44386,1,221670,260,0.12,260,0.12,-5,0.00,5365,0.01
85,Entry long,2025-07-14 02:30,Long trade,44334,1,221670,260,0.12,260,0.12,-5,0.00,5365,0.01
86,Exit long,2025-07-16 02:45,Exit Long,44192,1,220710,250,0.11,250,0.11,-5,0.00,5615,0.01
86,Entry long,2025-07-16 02:15,Long trade,44142,1,220710,250,0.11,250,0.11,-5,0.00,5615,0.01
87,Exit short,2025-07-18 05:15,Exit Short,44754,1,224035,265,0.12,265,0.12,-45,-0.02,5880,0.01
87,Entry short,2025-07-18 02:15,Short trade,44807,1,224035,265,0.12,265,0.12,-45,-0.02,5880,0.01
88,Exit short,2025-07-21 02:15,Exit Short,44672,1,223125,-235,-0.11,0,0.00,-235,-0.11,5645,0.01
88,Entry short,2025-07-21 02:00,Short trade,44625,1,223125,-235,-0.11,0,0.00,-235,-0.11,5645,0.01
89,Exit short,2025-07-21 08:15,Close entry(s) order Short trade,44608,1,223195,155,0.07,230,0.10,-205,-0.09,5800,0.01
89,Entry short,2025-07-21 02:45,Short trade,44639,1,223195,155,0.07,230,0.10,-205,-0.09,5800,0.01
90,Exit long,2025-07-22 07:00,Exit Long,44519,1,222345,250,0.11,250,0.11,-75,-0.03,6050,0.01
90,Entry long,2025-07-22 06:15,Long trade,44469,1,222345,250,0.11,250,0.11,-75,-0.03,6050,0.01
91,Exit short,2025-07-23 04:00,Exit Short,44936,1,224435,-245,-0.11,40,0.02,-245,-0.11,5805,0.01
91,Entry short,2025-07-23 03:30,Short trade,44887,1,224435,-245,-0.11,40,0.02,-245,-0.11,5805,0.01
92,Exit short,2025-07-23 08:15,Close entry(s) order Short trade,44941,1,224590,-115,-0.05,180,0.08,-210,-0.09,5690,0.01
