Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
32,Exit short,2025-04-08 04:15,Exit Short,17773.5,5,178637.5,902.5,0.51,902.5,0.51,-292.5,-0.16,830,0.00
32,Entry short,2025-04-08 03:30,Short trade,17863.75,5,178637.5,902.5,0.51,902.5,0.51,-292.5,-0.16,830,0.00
33,Exit short,2025-04-09 03:30,Exit Short,17305.75,5,172542.5,-515,-0.30,352.5,0.20,-515,-0.30,315,0.00
33,Entry short,2025-04-09 03:30,Short trade,17254.25,5,172542.5,-515,-0.30,352.5,0.20,-515,-0.30,315,0.00
34,Exit short,2025-04-09 04:00,Exit Short,17312.25,5,173997.5,875,0.50,875,0.50,-262.5,-0.15,1190,0.00
34,Entry short,2025-04-09 03:45,Short trade,17399.75,5,173997.5,875,0.50,875,0.50,-262.5,-0.15,1190,0.00
35,Exit short,2025-04-09 05:45,Exit Short,17260.25,5,173492.5,890,0.51,890,0.51,-497.5,-0.29,2080,0.00
35,Entry short,2025-04-09 05:00,Short trade,17349.25,5,173492.5,890,0.51,890,0.51,-497.5,-0.29,2080,0.00
36,Exit long,2025-04-10 03:45,Exit Long,18986.25,5,188962.5,900,0.48,900,0.48,-70,-0.04,2980,0.00
36,Entry long,2025-04-10 03:45,Long trade,18896.25,5,188962.5,900,0.48,900,0.48,-70,-0.04,2980,0.00
37,Exit long,2025-04-10 04:15,Exit Long,18849.25,5,188985,-492.5,-0.26,622.5,0.33,-492.5,-0.26,2487.5,0.00
37,Entry long,2025-04-10 04:00,Long trade,18898.5,5,188985,-492.5,-0.26,622.5,0.33,-492.5,-0.26,2487.5,0.00
38,Exit long,2025-04-10 04:30,Exit Long,18830,5,188810,-510,-0.27,22.5,0.01,-510,-0.27,1977.5,0.00
38,Entry long,2025-04-10 04:30,Long trade,18881,5,188810,-510,-0.27,22.5,0.01,-510,-0.27,1977.5,0.00
39,Exit long,2025-04-11 05:15,Exit Long,18449.25,5,183587.5,905,0.49,905,0.49,-182.5,-0.10,2882.5,0.00
39,Entry long,2025-04-11 04:45,Long trade,18358.75,5,183587.5,905,0.49,905,0.49,-182.5,-0.10,2882.5,0.00
40,Exit short,2025-04-11 07:00,Close entry(s) order Short trade,18631,5,186602.5,292.5,0.16,747.5,0.40,-422.5,-0.23,3175,0.00
40,Entry short,2025-04-11 06:30,Short trade,18660.25,5,186602.5,292.5,0.16,747.5,0.40,-422.5,-0.23,3175,0.00
41,Exit short,2025-04-15 07:15,Close entry(s) order Short trade,18956.5,5,189920,355,0.19,435,0.23,-485,-0.26,3530,0.00
41,Entry short,2025-04-15 03:15,Short trade,18992,5,189920,355,0.19,435,0.23,-485,-0.26,3530,0.00
42,Exit long,2025-04-16 04:15,Exit Long,18611,5,185217.5,892.5,0.48,892.5,0.48,-72.5,-0.04,4422.5,0.00
42,Entry long,2025-04-16 04:00,Long trade,18521.75,5,185217.5,892.5,0.48,892.5,0.48,-72.5,-0.04,4422.5,0.00
43,Exit short,2025-04-17 04:45,Exit Short,18550.25,5,186405,902.5,0.48,902.5,0.48,-22.5,-0.01,5325,0.01
43,Entry short,2025-04-17 03:30,Short trade,18640.5,5,186405,902.5,0.48,902.5,0.48,-22.5,-0.01,5325,0.01
44,Exit long,2025-04-21 07:15,Close entry(s) order Long trade,18170.5,5,181750,-45,-0.02,387.5,0.21,-400,-0.22,5280,0.01
44,Entry long,2025-04-21 03:15,Long trade,18175,5,181750,-45,-0.02,387.5,0.21,-400,-0.22,5280,0.01
45,Exit short,2025-04-22 02:45,Exit Short,18096.25,5,180460,-502.5,-0.28,2.5,0.00,-502.5,-0.28,4777.5,0.00
45,Entry short,2025-04-22 02:45,Short trade,18046,5,180460,-502.5,-0.28,2.5,0.00,-502.5,-0.28,4777.5,0.00
46,Exit short,2025-04-22 07:15,Close entry(s) order Short trade,18064.75,5,180942.5,295,0.16,425,0.23,-295,-0.16,5072.5,0.01
46,Entry short,2025-04-22 03:15,Short trade,18094.25,5,180942.5,295,0.16,425,0.23,-295,-0.16,5072.5,0.01
47,Exit short,2025-04-23 04:00,Exit Short,18820.25,5,187710,-492.5,-0.26,132.5,0.07,-492.5,-0.26,4580,0.00
47,Entry short,2025-04-23 03:45,Short trade,18771,5,187710,-492.5,-0.26,132.5,0.07,-492.5,-0.26,4580,0.00
48,Exit short,2025-04-23 06:00,Exit Short,18867.25,5,188170,-502.5,-0.27,25,0.01,-502.5,-0.27,4077.5,0.00
48,Entry short,2025-04-23 04:30,Short trade,18817,5,188170,-502.5,-0.27,25,0.01,-502.5,-0.27,4077.5,0.00
49,Exit long,2025-04-24 04:30,Exit Long,18628,5,186770,-490,-0.26,272.5,0.15,-490,-0.26,3587.5,0.00
49,Entry long,2025-04-24 03:45,Long trade,18677,5,186770,-490,-0.26,272.5,0.15,-490,-0.26,3587.5,0.00
50,Exit long,2025-04-24 06:00,Exit Long,18705.75,5,186155,902.5,0.48,902.5,0.48,-205,-0.11,4490,0.00
50,Entry long,2025-04-24 04:45,Long trade,18615.5,5,186155,902.5,0.48,902.5,0.48,-205,-0.11,4490,0.00
51,Exit short,2025-04-25 05:00,Exit Short,19371.75,5,194615,897.5,0.46,897.5,0.46,-45,-0.02,5387.5,0.01
51,Entry short,2025-04-25 03:00,Short trade,19461.5,5,194615,897.5,0.46,897.5,0.46,-45,-0.02,5387.5,0.01
52,Exit long,2025-04-25 06:30,Exit Long,19266,5,193145,-485,-0.25,165,0.09,-485,-0.25,4902.5,0.00
52,Entry long,2025-04-25 06:30,Long trade,19314.5,5,193145,-485,-0.25,165,0.09,-485,-0.25,4902.5,0.00
53,Exit long,2025-04-25 07:15,Close entry(s) order Long trade,19293.75,5,192532.5,405,0.21,475,0.25,-352.5,-0.18,5307.5,0.01
53,Entry long,2025-04-25 06:45,Long trade,19253.25,5,192532.5,405,0.21,475,0.25,-352.5,-0.18,5307.5,0.01
54,Exit short,2025-04-28 07:15,Close entry(s) order Short trade,19483.25,5,195285,452.5,0.23,625,0.32,-115,-0.06,5760,0.01
54,Entry short,2025-04-28 05:45,Short trade,19528.5,5,195285,452.5,0.23,625,0.32,-115,-0.06,5760,0.01
55,Exit short,2025-04-29 06:45,Exit Short,19502.5,5,195925,900,0.46,900,0.46,-287.5,-0.15,6660,0.01
55,Entry short,2025-04-29 03:30,Short trade,19592.5,5,195925,900,0.46,900,0.46,-287.5,-0.15,6660,0.01
56,Exit short,2025-05-01 05:45,Exit Short,20017,5,199670,-500,-0.25,355,0.18,-500,-0.25,6160,0.01
56,Entry short,2025-05-01 03:45,Short trade,19967,5,199670,-500,-0.25,355,0.18,-500,-0.25,6160,0.01
57,Exit short,2025-05-01 07:15,Close entry(s) order Short trade,20017.75,5,200162.5,-15,-0.01,332.5,0.17,-112.5,-0.06,6145,0.01
57,Entry short,2025-05-01 06:00,Short trade,20016.25,5,200162.5,-15,-0.01,332.5,0.17,-112.5,-0.06,6145,0.01
58,Exit long,2025-05-05 07:15,Close entry(s) order Long trade,20017,5,200002.5,167.5,0.08,282.5,0.14,-180,-0.09,6312.5,0.01
58,Entry long,2025-05-05 05:00,Long trade,20000.25,5,200002.5,167.5,0.08,282.5,0.14,-180,-0.09,6312.5,0.01
59,Exit long,2025-05-06 04:15,Exit Long,19854.25,5,199040,-497.5,-0.25,227.5,0.11,-497.5,-0.25,5815,0.01
59,Entry long,2025-05-06 03:45,Long trade,19904,5,199040,-497.5,-0.25,227.5,0.11,-497.5,-0.25,5815,0.01
60,Exit long,2025-05-06 07:15,Close entry(s) order Long trade,19889,5,198392.5,497.5,0.25,685,0.35,-155,-0.08,6312.5,0.01
60,Entry long,2025-05-06 04:30,Long trade,19839.25,5,198392.5,497.5,0.25,685,0.35,-155,-0.08,6312.5,0.01
61,Exit short,2025-05-08 04:45,Exit Short,20231.75,5,201817.5,-500,-0.25,280,0.14,-500,-0.25,5812.5,0.01
61,Entry short,2025-05-08 03:45,Short trade,20181.75,5,201817.5,-500,-0.25,280,0.14,-500,-0.25,5812.5,0.01
62,Exit short,2025-05-08 07:15,Close entry(s) order Short trade,20225.25,5,202257.5,5,0.00,125,0.06,-365,-0.18,5817.5,0.01
62,Entry short,2025-05-08 05:00,Short trade,20225.75,5,202257.5,5,0.00,125,0.06,-365,-0.18,5817.5,0.01
63,Exit short,2025-05-09 07:15,Close entry(s) order Short trade,20242.75,5,202210,-217.5,-0.11,555,0.27,-230,-0.11,5600,0.01
63,Entry short,2025-05-09 03:45,Short trade,20221,5,202210,-217.5,-0.11,555,0.27,-230,-0.11,5600,0.01
64,Exit short,2025-05-12 03:00,Exit Short,20633.25,5,205827.5,-505,-0.25,235,0.11,-505,-0.25,5095,0.01
64,Entry short,2025-05-12 02:45,Short trade,20582.75,5,205827.5,-505,-0.25,235,0.11,-505,-0.25,5095,0.01
65,Exit short,2025-05-12 03:45,Exit Short,20823.75,5,209135,897.5,0.43,897.5,0.43,-62.5,-0.03,5992.5,0.01
65,Entry short,2025-05-12 03:30,Short trade,20913.5,5,209135,897.5,0.43,897.5,0.43,-62.5,-0.03,5992.5,0.01
66,Exit short,2025-05-12 05:00,Exit Short,20906.25,5,208552.5,-510,-0.24,7.5,0.00,-510,-0.24,5482.5,0.01
66,Entry short,2025-05-12 04:45,Short trade,20855.25,5,208552.5,-510,-0.24,7.5,0.00,-510,-0.24,5482.5,0.01
67,Exit short,2025-05-14 04:00,Exit Short,21258.5,5,213485,900,0.42,900,0.42,-17.5,-0.01,6382.5,0.01
67,Entry short,2025-05-14 03:15,Short trade,21348.5,5,213485,900,0.42,900,0.42,-17.5,-0.01,6382.5,0.01
68,Exit long,2025-05-15 04:00,Exit Long,21256.25,5,213065,-502.5,-0.24,232.5,0.11,-502.5,-0.24,5880,0.01
68,Entry long,2025-05-15 03:15,Long trade,21306.5,5,213065,-502.5,-0.24,232.5,0.11,-502.5,-0.24,5880,0.01
69,Exit long,2025-05-15 04:45,Exit Long,21207,5,212577.5,-507.5,-0.24,242.5,0.11,-507.5,-0.24,5372.5,0.01
69,Entry long,2025-05-15 04:15,Long trade,21257.75,5,212577.5,-507.5,-0.24,242.5,0.11,-507.5,-0.24,5372.5,0.01
70,Exit long,2025-05-16 04:00,Exit Long,21458.75,5,213695,892.5,0.42,892.5,0.42,-85,-0.04,6265,0.01
70,Entry long,2025-05-16 03:00,Long trade,21369.5,5,213695,892.5,0.42,892.5,0.42,-85,-0.04,6265,0.01
71,Exit short,2025-05-16 07:15,Close entry(s) order Short trade,21458,5,214645,65,0.03,337.5,0.16,-145,-0.07,6330,0.01
71,Entry short,2025-05-16 04:30,Short trade,21464.5,5,214645,65,0.03,337.5,0.16,-145,-0.07,6330,0.01
72,Exit long,2025-05-19 04:15,Exit Long,21138,5,211877.5,-497.5,-0.23,390,0.18,-497.5,-0.23,5832.5,0.01
72,Entry long,2025-05-19 03:00,Long trade,21187.75,5,211877.5,-497.5,-0.23,390,0.18,-497.5,-0.23,5832.5,0.01
73,Exit long,2025-05-19 07:15,Close entry(s) order Long trade,21186.25,5,211337.5,525,0.25,780,0.37,-215,-0.10,6357.5,0.01
73,Entry long,2025-05-19 04:30,Long trade,21133.75,5,211337.5,525,0.25,780,0.37,-215,-0.10,6357.5,0.01
74,Exit long,2025-05-21 06:00,Exit Long,21255.5,5,213052.5,-497.5,-0.23,435,0.20,-497.5,-0.23,5860,0.01
74,Entry long,2025-05-21 02:45,Long trade,21305.25,5,213052.5,-497.5,-0.23,435,0.20,-497.5,-0.23,5860,0.01
75,Exit long,2025-05-21 07:15,Close entry(s) order Long trade,21311.5,5,212640,475,0.22,545,0.26,-345,-0.16,6335,0.01
75,Entry long,2025-05-21 06:15,Long trade,21264,5,212640,475,0.22,545,0.26,-345,-0.16,6335,0.01
76,Exit short,2025-05-26 07:15,Close entry(s) order Short trade,21276.5,5,212355,-410,-0.19,45,0.02,-502.5,-0.24,5925,0.01
76,Entry short,2025-05-26 03:15,Short trade,21235.5,5,212355,-410,-0.19,45,0.02,-502.5,-0.24,5925,0.01
77,Exit short,2025-05-27 07:15,Close entry(s) order Short trade,21297.5,5,213320,345,0.16,597.5,0.28,-207.5,-0.10,6270,0.01
77,Entry short,2025-05-27 04:15,Short trade,21332,5,213320,345,0.16,597.5,0.28,-207.5,-0.10,6270,0.01
78,Exit long,2025-05-28 06:45,Exit Long,21513,5,214222.5,907.5,0.42,907.5,0.42,-152.5,-0.07,7177.5,0.01
78,Entry long,2025-05-28 05:15,Long trade,21422.25,5,214222.5,907.5,0.42,907.5,0.42,-152.5,-0.07,7177.5,0.01
79,Exit short,2025-05-28 07:15,Close entry(s) order Short trade,21502.25,5,215170,147.5,0.07,252.5,0.12,-65,-0.03,7325,0.01
