Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
91,Exit long,2025-07-25 07:15,Close entry(s) order Long trade,6408.75,10,320312.5,125,0.04,187.5,0.06,-250,-0.08,14262.5,0.01
91,Entry long,2025-07-25 03:15,Long trade,6406.25,10,320312.5,125,0.04,187.5,0.06,-250,-0.08,14262.5,0.01
92,Exit long,2025-07-28 07:15,Close entry(s) order Long trade,6437.25,10,322250,-387.5,-0.12,150,0.05,-600,-0.19,13875,0.01
92,Entry long,2025-07-28 03:45,Long trade,6445,10,322250,-387.5,-0.12,150,0.05,-600,-0.19,13875,0.01
93,Exit short,2025-07-29 07:15,Close entry(s) order Short trade,6439.5,10,321737.5,-237.5,-0.07,12.5,0.00,-387.5,-0.12,13637.5,0.01
93,Entry short,2025-07-29 03:45,Short trade,6434.75,10,321737.5,-237.5,-0.07,12.5,0.00,-387.5,-0.12,13637.5,0.01
94,Exit short,2025-07-31 07:15,Close entry(s) order Short trade,6453.75,10,323050,362.5,0.11,637.5,0.20,-375,-0.12,14000,0.01
94,Entry short,2025-07-31 03:30,Short trade,6461,10,323050,362.5,0.11,637.5,0.20,-375,-0.12,14000,0.01
95,Exit long,2025-08-01 04:45,Close entry(s) order Long trade,6309.25,10,317525,-2062.5,-0.65,212.5,0.07,-2312.5,-0.73,11937.5,0.01
95,Entry long,2025-08-01 02:45,Long trade,6350.5,10,317525,-2062.5,-0.65,212.5,0.07,-2312.5,-0.73,11937.5,0.01
96,Exit short,2025-08-04 07:15,Close entry(s) order Short trade,6296.25,10,314662.5,-150,-0.05,137.5,0.04,-837.5,-0.27,11787.5,0.01
96,Entry short,2025-08-04 03:15,Short trade,6293.25,10,314662.5,-150,-0.05,137.5,0.04,-837.5,-0.27,11787.5,0.01
97,Exit short,2025-08-05 07:15,Close entry(s) order Short trade,6373,10,318712.5,62.5,0.02,787.5,0.25,-162.5,-0.05,11850,0.01
97,Entry short,2025-08-05 02:45,Short trade,6374.25,10,318712.5,62.5,0.02,787.5,0.25,-162.5,-0.05,11850,0.01
98,Exit short,2025-08-06 07:15,Close entry(s) order Short trade,6339.75,10,317562.5,575,0.18,987.5,0.31,-350,-0.11,12425,0.01
98,Entry short,2025-08-06 02:45,Short trade,6351.25,10,317562.5,575,0.18,987.5,0.31,-350,-0.11,12425,0.01
99,Exit short,2025-08-07 07:15,Close entry(s) order Short trade,6410.5,10,319362.5,-1162.5,-0.36,25,0.01,-1975,-0.62,11262.5,0.01
99,Entry short,2025-08-07 03:30,Short trade,6387.25,10,319362.5,-1162.5,-0.36,25,0.01,-1975,-0.62,11262.5,0.01
100,Exit short,2025-08-08 07:15,Close entry(s) order Short trade,6387.5,10,319125,-250,-0.08,62.5,0.02,-262.5,-0.08,11012.5,0.01
100,Entry short,2025-08-08 05:30,Short trade,6382.5,10,319125,-250,-0.08,62.5,0.02,-262.5,-0.08,11012.5,0.01
101,Exit short,2025-08-11 07:15,Close entry(s) order Short trade,6422.5,10,321400,275,0.09,975,0.30,-25,-0.01,11287.5,0.01
101,Entry short,2025-08-11 03:00,Short trade,6428,10,321400,275,0.09,975,0.30,-25,-0.01,11287.5,0.01
102,Exit short,2025-08-13 07:15,Close entry(s) order Short trade,6481,10,323837.5,-212.5,-0.07,187.5,0.06,-387.5,-0.12,11075,0.01
