Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit long,2025-04-01 03:45,Close entry(s) order Long trade,5641.25,2,564650,-525,-0.09,200,0.04,-550,-0.10,-525,0.00
1,Entry long,2025-04-01 03:30,Long trade,5646.5,2,564650,-525,-0.09,200,0.04,-550,-0.10,-525,0.00
2,Exit short,2025-04-02 03:30,Exit Short,5658.75,2,566200,325,0.06,325,0.06,-425,-0.08,-200,0.00
2,Entry short,2025-04-02 03:15,Short trade,5662,2,566200,325,0.06,325,0.06,-425,-0.08,-200,0.00
3,Exit short,2025-04-02 04:00,Exit Short,5655.75,2,565950,375,0.07,375,0.07,-25,0.00,175,0.00
3,Entry short,2025-04-02 04:00,Short trade,5659.5,2,565950,375,0.07,375,0.07,-25,0.00,175,0.00
4,Exit long,2025-04-02 11:45,Exit Long,5681.25,2,568825,-700,-0.12,300,0.05,-700,-0.12,-525,0.00
4,Entry long,2025-04-02 11:45,Long trade,5688.25,2,568825,-700,-0.12,300,0.05,-700,-0.12,-525,0.00
5,Exit short,2025-04-03 03:30,Exit Short,5537.75,2,554200,425,0.08,425,0.08,-200,-0.04,-100,0.00
5,Entry short,2025-04-03 03:30,Short trade,5542,2,554200,425,0.08,425,0.08,-200,-0.04,-100,0.00
6,Exit short,2025-04-03 06:00,Exit Short,5521.75,2,552600,425,0.08,425,0.08,-400,-0.07,325,0.00
6,Entry short,2025-04-03 06:00,Short trade,5526,2,552600,425,0.08,425,0.08,-400,-0.07,325,0.00
7,Exit short,2025-04-04 05:45,Exit Short,5386.25,2,539000,375,0.07,375,0.07,-525,-0.10,700,0.00
7,Entry short,2025-04-04 05:45,Short trade,5390,2,539000,375,0.07,375,0.07,-525,-0.10,700,0.00
8,Exit short,2025-04-07 03:15,Exit Short,4885.25,2,487800,-725,-0.15,0,0.00,-725,-0.15,-25,0.00
8,Entry short,2025-04-07 03:15,Short trade,4878,2,487800,-725,-0.15,0,0.00,-725,-0.15,-25,0.00
9,Exit long,2025-04-08 03:45,Exit Long,5185,2,518150,350,0.07,350,0.07,0,0.00,325,0.00
9,Entry long,2025-04-08 03:45,Long trade,5181.5,2,518150,350,0.07,350,0.07,0,0.00,325,0.00
10,Exit short,2025-04-08 12:30,Exit Short,5188.75,2,519250,375,0.07,375,0.07,-650,-0.13,700,0.00
10,Entry short,2025-04-08 12:30,Short trade,5192.5,2,519250,375,0.07,375,0.07,-650,-0.13,700,0.00
11,Exit long,2025-04-09 03:30,Exit Long,5006,2,501375,-775,-0.15,0,0.00,-775,-0.15,-75,0.00
11,Entry long,2025-04-09 03:30,Long trade,5013.75,2,501375,-775,-0.15,0,0.00,-775,-0.15,-75,0.00
12,Exit short,2025-04-10 05:15,Exit Short,5373.5,2,537750,400,0.07,400,0.07,0,0.00,325,0.00
12,Entry short,2025-04-10 05:15,Short trade,5377.5,2,537750,400,0.07,400,0.07,0,0.00,325,0.00
13,Exit short,2025-04-10 12:45,Exit Short,5226.25,2,522975,350,0.07,350,0.07,0,0.00,675,0.00
13,Entry short,2025-04-10 12:45,Short trade,5229.75,2,522975,350,0.07,350,0.07,0,0.00,675,0.00
14,Exit short,2025-04-11 04:30,Exit Short,5283.75,2,528750,375,0.07,375,0.07,-550,-0.10,1050,0.00
14,Entry short,2025-04-11 04:30,Short trade,5287.5,2,528750,375,0.07,375,0.07,-550,-0.10,1050,0.00
15,Exit short,2025-04-11 05:00,Exit Short,5283.5,2,527625,-725,-0.14,0,0.00,-725,-0.14,325,0.00
15,Entry short,2025-04-11 05:00,Short trade,5276.25,2,527625,-725,-0.14,0,0.00,-725,-0.14,325,0.00
16,Exit long,2025-04-14 03:45,Exit Long,5468.75,2,546500,375,0.07,375,0.07,-75,-0.01,700,0.00
16,Entry long,2025-04-14 03:45,Long trade,5465,2,546500,375,0.07,375,0.07,-75,-0.01,700,0.00
17,Exit long,2025-04-14 04:00,Exit Long,5470.75,2,546700,375,0.07,375,0.07,-425,-0.08,1075,0.00
17,Entry long,2025-04-14 04:00,Long trade,5467,2,546700,375,0.07,375,0.07,-425,-0.08,1075,0.00
18,Exit short,2025-04-14 12:30,Exit Short,5406.75,2,541050,375,0.07,375,0.07,0,0.00,1450,0.00
18,Entry short,2025-04-14 12:30,Short trade,5410.5,2,541050,375,0.07,375,0.07,0,0.00,1450,0.00
