Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit short,2025-05-01 03:15,Exit Short,5639.5,2,564375,425,0.08,425,0.08,0,0.00,425,0.00
1,Entry short,2025-05-01 03:15,Short trade,5643.75,2,564375,425,0.08,425,0.08,0,0.00,425,0.00
2,Exit long,2025-05-01 06:15,Exit Long,5662.25,2,565850,375,0.07,375,0.07,-375,-0.07,800,0.00
2,Entry long,2025-05-01 06:15,Long trade,5658.5,2,565850,375,0.07,375,0.07,-375,-0.07,800,0.00
3,Exit short,2025-05-02 04:00,Exit Short,5644.5,2,564825,375,0.07,375,0.07,-325,-0.06,1175,0.00
3,Entry short,2025-05-02 04:00,Short trade,5648.25,2,564825,375,0.07,375,0.07,-325,-0.06,1175,0.00
4,Exit short,2025-05-02 05:00,Exit Short,5643,2,563575,-725,-0.13,225,0.04,-725,-0.13,450,0.00
4,Entry short,2025-05-02 05:00,Short trade,5635.75,2,563575,-725,-0.13,225,0.04,-725,-0.13,450,0.00
5,Exit short,2025-05-05 04:45,Exit Short,5661.5,2,566525,375,0.07,375,0.07,-25,0.00,825,0.00
5,Entry short,2025-05-05 04:45,Short trade,5665.25,2,566525,375,0.07,375,0.07,-25,0.00,825,0.00
6,Exit short,2025-05-05 06:30,Exit Short,5661.25,2,566500,375,0.07,375,0.07,-350,-0.06,1200,0.00
6,Entry short,2025-05-05 05:30,Short trade,5665,2,566500,375,0.07,375,0.07,-350,-0.06,1200,0.00
7,Exit long,2025-05-05 12:15,Exit Long,5695.75,2,569200,375,0.07,375,0.07,-25,0.00,1575,0.00
7,Entry long,2025-05-05 12:15,Long trade,5692,2,569200,375,0.07,375,0.07,-25,0.00,1575,0.00
8,Exit short,2025-05-06 04:00,Exit Short,5639.5,2,564325,375,0.07,375,0.07,-525,-0.09,1950,0.00
8,Entry short,2025-05-06 03:45,Short trade,5643.25,2,564325,375,0.07,375,0.07,-525,-0.09,1950,0.00
9,Exit short,2025-05-06 05:00,Exit Short,5631,2,563475,375,0.07,375,0.07,-225,-0.04,2325,0.00
9,Entry short,2025-05-06 04:45,Short trade,5634.75,2,563475,375,0.07,375,0.07,-225,-0.04,2325,0.00
10,Exit long,2025-05-06 12:15,Exit Long,5660.5,2,566750,-700,-0.12,75,0.01,-700,-0.12,1625,0.00
10,Entry long,2025-05-06 12:15,Long trade,5667.5,2,566750,-700,-0.12,75,0.01,-700,-0.12,1625,0.00
11,Exit long,2025-05-08 05:15,Exit Long,5708.5,2,570475,375,0.07,375,0.07,-50,-0.01,2000,0.00
11,Entry long,2025-05-08 05:15,Long trade,5704.75,2,570475,375,0.07,375,0.07,-50,-0.01,2000,0.00
12,Exit long,2025-05-08 06:45,Exit Long,5715.5,2,571200,350,0.06,350,0.06,-350,-0.06,2350,0.00
12,Entry long,2025-05-08 06:00,Long trade,5712,2,571200,350,0.06,350,0.06,-350,-0.06,2350,0.00
13,Exit long,2025-05-08 12:00,Exit Long,5725,2,572125,375,0.07,375,0.07,-50,-0.01,2725,0.00
13,Entry long,2025-05-08 12:00,Long trade,5721.25,2,572125,375,0.07,375,0.07,-50,-0.01,2725,0.00
14,Exit long,2025-05-08 12:15,Exit Long,5733.5,2,572975,375,0.07,375,0.07,-525,-0.09,3100,0.00
14,Entry long,2025-05-08 12:15,Long trade,5729.75,2,572975,375,0.07,375,0.07,-525,-0.09,3100,0.00
15,Exit short,2025-05-09 03:45,Exit Short,5697.25,2,569000,-725,-0.13,200,0.04,-725,-0.13,2375,0.00
15,Entry short,2025-05-09 03:30,Short trade,5690,2,569000,-725,-0.13,200,0.04,-725,-0.13,2375,0.00
16,Exit short,2025-05-09 04:30,Exit Short,5685,2,568900,400,0.07,400,0.07,-125,-0.02,2775,0.00
16,Entry short,2025-05-09 04:30,Short trade,5689,2,568900,400,0.07,400,0.07,-125,-0.02,2775,0.00
17,Exit short,2025-05-09 13:00,Exit Short,5664.75,2,566875,400,0.07,400,0.07,0,0.00,3175,0.00
17,Entry short,2025-05-09 13:00,Short trade,5668.75,2,566875,400,0.07,400,0.07,0,0.00,3175,0.00
18,Exit long,2025-05-12 03:15,Exit Long,5832.25,2,583925,-700,-0.12,0,0.00,-700,-0.12,2475,0.00
18,Entry long,2025-05-12 03:15,Long trade,5839.25,2,583925,-700,-0.12,0,0.00,-700,-0.12,2475,0.00
19,Exit short,2025-05-13 05:30,Exit Short,5846.25,2,583925,-700,-0.12,175,0.03,-700,-0.12,1775,0.00
19,Entry short,2025-05-13 05:00,Short trade,5839.25,2,583925,-700,-0.12,175,0.03,-700,-0.12,1775,0.00
20,Exit long,2025-05-13 06:45,Exit Long,5853.75,2,585000,375,0.06,375,0.06,-500,-0.09,2150,0.00
