Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit short,2025-03-07 06:00,Exit Short,5758,1,288187.5,287.5,0.10,287.5,0.10,-137.5,-0.05,287.5,0.00
1,Entry short,2025-03-07 05:45,Short trade,5763.75,1,288187.5,287.5,0.10,287.5,0.10,-137.5,-0.05,287.5,0.00
2,Exit short,2025-03-07 07:15,Exit Short,5757,1,288112.5,262.5,0.09,262.5,0.09,-337.5,-0.12,550,0.00
2,Entry short,2025-03-07 06:15,Short trade,5762.25,1,288112.5,262.5,0.09,262.5,0.09,-337.5,-0.12,550,0.00
3,Exit long,2025-03-07 08:30,Exit Long,5736.25,1,287650,-837.5,-0.29,175,0.06,-837.5,-0.29,-287.5,0.00
3,Entry long,2025-03-07 07:30,Long trade,5753,1,287650,-837.5,-0.29,175,0.06,-837.5,-0.29,-287.5,0.00
4,Exit long,2025-03-07 08:45,Exit Long,5743,1,287987.5,-837.5,-0.29,87.5,0.03,-837.5,-0.29,-1125,0.00
4,Entry long,2025-03-07 08:45,Long trade,5759.75,1,287987.5,-837.5,-0.29,87.5,0.03,-837.5,-0.29,-1125,0.00
5,Exit long,2025-03-10 07:00,Exit Long,5714.75,1,285450,287.5,0.10,287.5,0.10,-275,-0.10,-837.5,0.00
5,Entry long,2025-03-10 06:45,Long trade,5709,1,285450,287.5,0.10,287.5,0.10,-275,-0.10,-837.5,0.00
6,Exit long,2025-03-10 07:15,Exit Long,5720.5,1,285737.5,287.5,0.10,287.5,0.10,-187.5,-0.07,-550,0.00
6,Entry long,2025-03-10 07:15,Long trade,5714.75,1,285737.5,287.5,0.10,287.5,0.10,-187.5,-0.07,-550,0.00
7,Exit long,2025-03-10 08:30,Exit Long,5689.75,1,285337.5,-850,-0.30,37.5,0.01,-850,-0.30,-1400,0.00
7,Entry long,2025-03-10 08:00,Long trade,5706.75,1,285337.5,-850,-0.30,37.5,0.01,-850,-0.30,-1400,0.00
8,Exit long,2025-03-10 08:45,Exit Long,5701.5,1,284812.5,262.5,0.09,262.5,0.09,-137.5,-0.05,-1137.5,0.00
8,Entry long,2025-03-10 08:45,Long trade,5696.25,1,284812.5,262.5,0.09,262.5,0.09,-137.5,-0.05,-1137.5,0.00
9,Exit long,2025-03-10 09:00,Exit Long,5706.5,1,285062.5,262.5,0.09,262.5,0.09,0,0.00,-875,0.00
