Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit long,2025-03-07 04:45,Exit Long,5772.25,2,576850,375,0.07,375,0.07,-300,-0.05,375,0.00
1,Entry long,2025-03-07 04:30,Long trade,5768.5,2,576850,375,0.07,375,0.07,-300,-0.05,375,0.00
2,Exit short,2025-03-07 12:15,Exit Short,5693.75,2,568650,-725,-0.13,0,0.00,-725,-0.13,-350,0.00
2,Entry short,2025-03-07 12:15,Short trade,5686.5,2,568650,-725,-0.13,0,0.00,-725,-0.13,-350,0.00
3,Exit short,2025-03-10 05:30,Exit Short,5728,2,572075,-725,-0.13,25,0.00,-725,-0.13,-1075,0.00
3,Entry short,2025-03-10 05:30,Short trade,5720.75,2,572075,-725,-0.13,25,0.00,-725,-0.13,-1075,0.00
4,Exit long,2025-03-11 05:00,Exit Long,5644.25,2,564075,350,0.06,350,0.06,-350,-0.06,-725,0.00
4,Entry long,2025-03-11 04:45,Long trade,5640.75,2,564075,350,0.06,350,0.06,-350,-0.06,-725,0.00
5,Exit long,2025-03-11 05:15,Exit Long,5645.25,2,564175,350,0.06,350,0.06,-300,-0.05,-375,0.00
5,Entry long,2025-03-11 05:15,Long trade,5641.75,2,564175,350,0.06,350,0.06,-300,-0.05,-375,0.00
6,Exit short,2025-03-11 13:30,Exit Short,5543.5,2,553600,-750,-0.14,125,0.02,-750,-0.14,-1125,0.00
6,Entry short,2025-03-11 13:30,Short trade,5536,2,553600,-750,-0.14,125,0.02,-750,-0.14,-1125,0.00
7,Exit long,2025-03-12 04:15,Exit Long,5586.75,2,559375,-700,-0.13,175,0.03,-700,-0.13,-1825,0.00
7,Entry long,2025-03-12 04:15,Long trade,5593.75,2,559375,-700,-0.13,175,0.03,-700,-0.13,-1825,0.00
8,Exit short,2025-03-13 04:30,Exit Short,5570.5,2,557400,350,0.06,350,0.06,-200,-0.04,-1475,0.00
8,Entry short,2025-03-13 04:30,Short trade,5574,2,557400,350,0.06,350,0.06,-200,-0.04,-1475,0.00
9,Exit short,2025-03-13 13:00,Exit Short,5546,2,553850,-750,-0.14,0,0.00,-750,-0.14,-2225,0.00
9,Entry short,2025-03-13 13:00,Short trade,5538.5,2,553850,-750,-0.14,0,0.00,-750,-0.14,-2225,0.00
10,Exit short,2025-03-13 13:30,Exit Short,5519.75,2,552325,350,0.06,350,0.06,-125,-0.02,-1875,0.00
10,Entry short,2025-03-13 13:30,Short trade,5523.25,2,552325,350,0.06,350,0.06,-125,-0.02,-1875,0.00
11,Exit long,2025-03-14 05:15,Exit Long,5573.5,2,556950,400,0.07,400,0.07,-75,-0.01,-1475,0.00
11,Entry long,2025-03-14 05:15,Long trade,5569.5,2,556950,400,0.07,400,0.07,-75,-0.01,-1475,0.00
12,Exit long,2025-03-14 06:15,Exit Long,5563,2,557000,-700,-0.13,275,0.05,-700,-0.13,-2175,0.00
12,Entry long,2025-03-14 05:30,Long trade,5570,2,557000,-700,-0.13,275,0.05,-700,-0.13,-2175,0.00
13,Exit long,2025-03-17 05:00,Exit Long,5617,2,561300,400,0.07,400,0.07,-250,-0.04,-1775,0.00
13,Entry long,2025-03-17 05:00,Long trade,5613,2,561300,400,0.07,400,0.07,-250,-0.04,-1775,0.00
14,Exit long,2025-03-17 05:45,Exit Long,5617.5,2,561375,375,0.07,375,0.07,-375,-0.07,-1400,0.00
14,Entry long,2025-03-17 05:15,Long trade,5613.75,2,561375,375,0.07,375,0.07,-375,-0.07,-1400,0.00
15,Exit long,2025-03-17 14:00,Exit Long,5685,2,568125,375,0.07,375,0.07,-25,0.00,-1025,0.00
15,Entry long,2025-03-17 14:00,Long trade,5681.25,2,568125,375,0.07,375,0.07,-25,0.00,-1025,0.00
16,Exit long,2025-03-18 05:45,Exit Long,5725,2,573250,-750,-0.13,275,0.05,-750,-0.13,-1775,0.00
16,Entry long,2025-03-18 05:15,Long trade,5732.5,2,573250,-750,-0.13,275,0.05,-750,-0.13,-1775,0.00
17,Exit short,2025-03-19 04:15,Exit Short,5666,2,566975,375,0.07,375,0.07,0,0.00,-1400,0.00
17,Entry short,2025-03-19 04:15,Short trade,5669.75,2,566975,375,0.07,375,0.07,0,0.00,-1400,0.00
18,Exit long,2025-03-19 07:30,Exit Long,5688.5,2,568500,350,0.06,350,0.06,-500,-0.09,-1050,0.00
18,Entry long,2025-03-19 06:15,Long trade,5685,2,568500,350,0.06,350,0.06,-500,-0.09,-1050,0.00
19,Exit short,2025-03-20 04:45,Exit Short,5752.75,2,575650,375,0.07,375,0.07,-150,-0.03,-675,0.00
19,Entry short,2025-03-20 04:15,Short trade,5756.5,2,575650,375,0.07,375,0.07,-150,-0.03,-675,0.00
20,Exit short,2025-03-20 07:15,Exit Short,5708.25,2,570100,-725,-0.13,275,0.05,-725,-0.13,-1400,0.00
20,Entry short,2025-03-20 07:00,Short trade,5701,2,570100,-725,-0.13,275,0.05,-725,-0.13,-1400,0.00
21,Exit short,2025-03-21 04:30,Exit Short,5686,2,569000,400,0.07,400,0.07,-375,-0.07,-1000,0.00
21,Entry short,2025-03-21 04:30,Short trade,5690,2,569000,400,0.07,400,0.07,-375,-0.07,-1000,0.00
22,Exit short,2025-03-21 05:00,Exit Short,5688,2,569175,375,0.07,375,0.07,-125,-0.02,-625,0.00
22,Entry short,2025-03-21 05:00,Short trade,5691.75,2,569175,375,0.07,375,0.07,-125,-0.02,-625,0.00
23,Exit long,2025-03-21 13:15,Exit Long,5693,2,570025,-725,-0.13,200,0.04,-725,-0.13,-1350,0.00
23,Entry long,2025-03-21 13:15,Long trade,5700.25,2,570025,-725,-0.13,200,0.04,-725,-0.13,-1350,0.00
24,Exit long,2025-03-21 14:00,Exit Long,5705.75,2,570200,375,0.07,375,0.07,0,0.00,-975,0.00
24,Entry long,2025-03-21 14:00,Long trade,5702,2,570200,375,0.07,375,0.07,0,0.00,-975,0.00
25,Exit long,2025-03-24 04:45,Exit Long,5778.75,2,577500,375,0.06,375,0.06,-150,-0.03,-600,0.00
25,Entry long,2025-03-24 04:45,Long trade,5775,2,577500,375,0.06,375,0.06,-150,-0.03,-600,0.00
26,Exit long,2025-03-24 05:00,Exit Long,5780,2,577625,375,0.06,375,0.06,-225,-0.04,-225,0.00
26,Entry long,2025-03-24 05:00,Long trade,5776.25,2,577625,375,0.06,375,0.06,-225,-0.04,-225,0.00
27,Exit short,2025-03-25 05:45,Close entry(s) order Short trade,5809.5,2,580375,-575,-0.10,150,0.03,-650,-0.11,-800,0.00
27,Entry short,2025-03-25 04:30,Short trade,5803.75,2,580375,-575,-0.10,150,0.03,-650,-0.11,-800,0.00
28,Exit short,2025-03-26 05:45,Exit Short,5814.75,2,581875,400,0.07,400,0.07,-350,-0.06,-400,0.00
28,Entry short,2025-03-26 05:00,Short trade,5818.75,2,581875,400,0.07,400,0.07,-350,-0.06,-400,0.00
29,Exit short,2025-03-26 06:45,Exit Short,5824.5,2,581750,-700,-0.12,0,0.00,-700,-0.12,-1100,0.00
29,Entry short,2025-03-26 06:15,Short trade,5817.5,2,581750,-700,-0.12,0,0.00,-700,-0.12,-1100,0.00
30,Exit short,2025-03-26 13:00,Exit Short,5773,2,576575,-725,-0.13,75,0.01,-725,-0.13,-1825,0.00
30,Entry short,2025-03-26 13:00,Short trade,5765.75,2,576575,-725,-0.13,75,0.01,-725,-0.13,-1825,0.00
31,Exit short,2025-03-27 04:45,Exit Short,5762.25,2,575525,-700,-0.12,150,0.03,-700,-0.12,-2525,0.00
31,Entry short,2025-03-27 04:30,Short trade,5755.25,2,575525,-700,-0.12,150,0.03,-700,-0.12,-2525,0.00
32,Exit short,2025-03-28 04:15,Exit Short,5715.75,2,571925,350,0.06,350,0.06,-325,-0.06,-2175,0.00
32,Entry short,2025-03-28 04:15,Short trade,5719.25,2,571925,350,0.06,350,0.06,-325,-0.06,-2175,0.00
33,Exit short,2025-03-28 04:45,Exit Short,5723.75,2,571650,-725,-0.13,350,0.06,-725,-0.13,-2900,0.00
33,Entry short,2025-03-28 04:30,Short trade,5716.5,2,571650,-725,-0.13,350,0.06,-725,-0.13,-2900,0.00
34,Exit short,2025-03-31 03:15,Exit Short,5582.25,2,557525,-700,-0.13,25,0.00,-700,-0.13,-3600,0.00
34,Entry short,2025-03-31 03:15,Short trade,5575.25,2,557525,-700,-0.13,25,0.00,-700,-0.13,-3600,0.00
35,Exit long,2025-04-01 03:45,Close entry(s) order Long trade,5641.25,2,564650,-525,-0.09,200,0.04,-550,-0.10,-4125,0.00
35,Entry long,2025-04-01 03:30,Long trade,5646.5,2,564650,-525,-0.09,200,0.04,-550,-0.10,-4125,0.00
36,Exit short,2025-04-02 03:30,Exit Short,5658.75,2,566200,325,0.06,325,0.06,-425,-0.08,-3800,0.00
36,Entry short,2025-04-02 03:15,Short trade,5662,2,566200,325,0.06,325,0.06,-425,-0.08,-3800,0.00
37,Exit short,2025-04-02 04:00,Exit Short,5655.75,2,565950,375,0.07,375,0.07,-25,0.00,-3425,0.00
37,Entry short,2025-04-02 04:00,Short trade,5659.5,2,565950,375,0.07,375,0.07,-25,0.00,-3425,0.00
38,Exit long,2025-04-02 11:45,Exit Long,5681.25,2,568825,-700,-0.12,300,0.05,-700,-0.12,-4125,0.00
38,Entry long,2025-04-02 11:45,Long trade,5688.25,2,568825,-700,-0.12,300,0.05,-700,-0.12,-4125,0.00
39,Exit short,2025-04-03 03:30,Exit Short,5537.75,2,554200,425,0.08,425,0.08,-200,-0.04,-3700,0.00
39,Entry short,2025-04-03 03:30,Short trade,5542,2,554200,425,0.08,425,0.08,-200,-0.04,-3700,0.00
40,Exit short,2025-04-03 06:00,Exit Short,5521.75,2,552600,425,0.08,425,0.08,-400,-0.07,-3275,0.00
40,Entry short,2025-04-03 06:00,Short trade,5526,2,552600,425,0.08,425,0.08,-400,-0.07,-3275,0.00
41,Exit short,2025-04-04 05:45,Exit Short,5386.25,2,539000,375,0.07,375,0.07,-525,-0.10,-2900,0.00
41,Entry short,2025-04-04 05:45,Short trade,5390,2,539000,375,0.07,375,0.07,-525,-0.10,-2900,0.00
42,Exit short,2025-04-07 03:15,Exit Short,4885.25,2,487800,-725,-0.15,0,0.00,-725,-0.15,-3625,0.00
42,Entry short,2025-04-07 03:15,Short trade,4878,2,487800,-725,-0.15,0,0.00,-725,-0.15,-3625,0.00
43,Exit long,2025-04-08 03:45,Exit Long,5185,2,518150,350,0.07,350,0.07,0,0.00,-3275,0.00
43,Entry long,2025-04-08 03:45,Long trade,5181.5,2,518150,350,0.07,350,0.07,0,0.00,-3275,0.00
44,Exit short,2025-04-08 12:30,Exit Short,5188.75,2,519250,375,0.07,375,0.07,-650,-0.13,-2900,0.00
44,Entry short,2025-04-08 12:30,Short trade,5192.5,2,519250,375,0.07,375,0.07,-650,-0.13,-2900,0.00
45,Exit long,2025-04-09 03:30,Exit Long,5006,2,501375,-775,-0.15,0,0.00,-775,-0.15,-3675,0.00
45,Entry long,2025-04-09 03:30,Long trade,5013.75,2,501375,-775,-0.15,0,0.00,-775,-0.15,-3675,0.00
46,Exit short,2025-04-10 05:15,Exit Short,5373.5,2,537750,400,0.07,400,0.07,0,0.00,-3275,0.00
46,Entry short,2025-04-10 05:15,Short trade,5377.5,2,537750,400,0.07,400,0.07,0,0.00,-3275,0.00
47,Exit short,2025-04-10 12:45,Exit Short,5226.25,2,522975,350,0.07,350,0.07,0,0.00,-2925,0.00
47,Entry short,2025-04-10 12:45,Short trade,5229.75,2,522975,350,0.07,350,0.07,0,0.00,-2925,0.00
48,Exit short,2025-04-11 04:30,Exit Short,5283.75,2,528750,375,0.07,375,0.07,-550,-0.10,-2550,0.00
48,Entry short,2025-04-11 04:30,Short trade,5287.5,2,528750,375,0.07,375,0.07,-550,-0.10,-2550,0.00
49,Exit short,2025-04-11 05:00,Exit Short,5283.5,2,527625,-725,-0.14,0,0.00,-725,-0.14,-3275,0.00
49,Entry short,2025-04-11 05:00,Short trade,5276.25,2,527625,-725,-0.14,0,0.00,-725,-0.14,-3275,0.00
50,Exit long,2025-04-14 03:45,Exit Long,5468.75,2,546500,375,0.07,375,0.07,-75,-0.01,-2900,0.00
50,Entry long,2025-04-14 03:45,Long trade,5465,2,546500,375,0.07,375,0.07,-75,-0.01,-2900,0.00
51,Exit long,2025-04-14 04:00,Exit Long,5470.75,2,546700,375,0.07,375,0.07,-425,-0.08,-2525,0.00
51,Entry long,2025-04-14 04:00,Long trade,5467,2,546700,375,0.07,375,0.07,-425,-0.08,-2525,0.00
52,Exit short,2025-04-14 12:30,Exit Short,5406.75,2,541050,375,0.07,375,0.07,0,0.00,-2150,0.00
52,Entry short,2025-04-14 12:30,Short trade,5410.5,2,541050,375,0.07,375,0.07,0,0.00,-2150,0.00
53,Exit long,2025-04-15 04:15,Exit Long,5459.5,2,545575,375,0.07,375,0.07,0,0.00,-1775,0.00
53,Entry long,2025-04-15 04:15,Long trade,5455.75,2,545575,375,0.07,375,0.07,0,0.00,-1775,0.00
54,Exit long,2025-04-16 04:45,Exit Long,5407.75,2,541450,-675,-0.12,0,0.00,-675,-0.12,-2450,0.00
54,Entry long,2025-04-16 04:45,Long trade,5414.5,2,541450,-675,-0.12,0,0.00,-675,-0.12,-2450,0.00
55,Exit long,2025-04-17 03:45,Exit Long,5364,2,536025,375,0.07,375,0.07,-125,-0.02,-2075,0.00
55,Entry long,2025-04-17 03:45,Long trade,5360.25,2,536025,375,0.07,375,0.07,-125,-0.02,-2075,0.00
56,Exit long,2025-04-17 12:45,Exit Long,5332,2,532800,400,0.08,400,0.08,-350,-0.07,-1675,0.00
56,Entry long,2025-04-17 12:45,Long trade,5328,2,532800,400,0.08,400,0.08,-350,-0.07,-1675,0.00
57,Exit long,2025-04-17 13:00,Exit Long,5350.5,2,534675,375,0.07,375,0.07,0,0.00,-1300,0.00
57,Entry long,2025-04-17 13:00,Long trade,5346.75,2,534675,375,0.07,375,0.07,0,0.00,-1300,0.00
58,Exit short,2025-04-21 05:00,Exit Short,5252.5,2,525600,350,0.07,350,0.07,-550,-0.10,-950,0.00
58,Entry short,2025-04-21 04:15,Short trade,5256,2,525600,350,0.07,350,0.07,-550,-0.10,-950,0.00
59,Exit short,2025-04-21 12:00,Exit Short,5161.5,2,515425,-725,-0.14,50,0.01,-725,-0.14,-1675,0.00
59,Entry short,2025-04-21 12:00,Short trade,5154.25,2,515425,-725,-0.14,50,0.01,-725,-0.14,-1675,0.00
60,Exit long,2025-04-22 03:15,Exit Long,5237.25,2,523350,375,0.07,375,0.07,-300,-0.06,-1300,0.00
60,Entry long,2025-04-22 03:15,Long trade,5233.5,2,523350,375,0.07,375,0.07,-300,-0.06,-1300,0.00
61,Exit long,2025-04-22 06:00,Exit Long,5230.75,2,523800,-725,-0.14,50,0.01,-725,-0.14,-2025,0.00
61,Entry long,2025-04-22 05:30,Long trade,5238,2,523800,-725,-0.14,50,0.01,-725,-0.14,-2025,0.00
62,Exit long,2025-04-22 12:30,Exit Long,5326.5,2,533400,-750,-0.14,325,0.06,-750,-0.14,-2775,0.00
62,Entry long,2025-04-22 12:30,Long trade,5334,2,533400,-750,-0.14,325,0.06,-750,-0.14,-2775,0.00
63,Exit long,2025-04-23 03:45,Exit Long,5412.25,2,540875,350,0.06,350,0.06,-300,-0.06,-2425,0.00
63,Entry long,2025-04-23 03:45,Long trade,5408.75,2,540875,350,0.06,350,0.06,-300,-0.06,-2425,0.00
64,Exit long,2025-04-23 05:00,Exit Long,5428.75,2,542525,350,0.06,350,0.06,0,0.00,-2075,0.00
64,Entry long,2025-04-23 05:00,Long trade,5425.25,2,542525,350,0.06,350,0.06,0,0.00,-2075,0.00
65,Exit short,2025-04-23 12:00,Exit Short,5416.75,2,542050,375,0.07,375,0.07,-150,-0.03,-1700,0.00
65,Entry short,2025-04-23 12:00,Short trade,5420.5,2,542050,375,0.07,375,0.07,-150,-0.03,-1700,0.00
66,Exit short,2025-04-24 03:45,Exit Short,5371,2,537450,350,0.07,350,0.07,-475,-0.09,-1350,0.00
