Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
23,Entry short,2025-05-14 04:15,Short trade,1.12595,2,281487.5,1725,0.61,1812.5,0.64,-725,-0.26,7450,0.01
24,Exit short,2025-05-19 16:15,Close entry(s) order Short trade,1.12625,2,282450,887.5,0.31,1362.5,0.48,-237.5,-0.08,8337.5,0.01
24,Entry short,2025-05-19 05:30,Short trade,1.1298,2,282450,887.5,0.31,1362.5,0.48,-237.5,-0.08,8337.5,0.01
25,Exit long,2025-05-22 11:00,Exit Long,1.12865,2,283187.5,-1025,-0.36,587.5,0.21,-1025,-0.36,7312.5,0.01
25,Entry long,2025-05-22 03:30,Long trade,1.13275,2,283187.5,-1025,-0.36,587.5,0.21,-1025,-0.36,7312.5,0.01
26,Exit short,2025-05-23 16:15,Close entry(s) order Short trade,1.13775,2,284300,-137.5,-0.05,1475,0.52,-550,-0.19,7175,0.01
26,Entry short,2025-05-23 06:00,Short trade,1.1372,2,284300,-137.5,-0.05,1475,0.52,-550,-0.19,7175,0.01
27,Exit long,2025-05-26 16:15,Close entry(s) order Long trade,1.14,2,284875,125,0.04,175,0.06,-275,-0.10,7300,0.01
27,Entry long,2025-05-26 05:00,Long trade,1.1395,2,284875,125,0.04,175,0.06,-275,-0.10,7300,0.01
28,Exit long,2025-05-28 16:15,Close entry(s) order Long trade,1.13065,2,282887.5,-225,-0.08,575,0.20,-450,-0.16,7075,0.01
28,Entry long,2025-05-28 09:00,Long trade,1.13155,2,282887.5,-225,-0.08,575,0.20,-450,-0.16,7075,0.01
29,Exit short,2025-05-29 16:15,Close entry(s) order Short trade,1.1377,2,284250,-175,-0.06,475,0.17,-650,-0.23,6900,0.01
29,Entry short,2025-05-29 09:00,Short trade,1.137,2,284250,-175,-0.06,475,0.17,-650,-0.23,6900,0.01
30,Exit long,2025-05-30 16:15,Close entry(s) order Long trade,1.1363,2,283475,600,0.21,975,0.34,-400,-0.14,7500,0.01
30,Entry long,2025-05-30 04:15,Long trade,1.1339,2,283475,600,0.21,975,0.34,-400,-0.14,7500,0.01
31,Exit short,2025-06-02 16:15,Close entry(s) order Short trade,1.14545,2,286087.5,-275,-0.10,725,0.25,-425,-0.15,7225,0.01
31,Entry short,2025-06-02 05:00,Short trade,1.14435,2,286087.5,-275,-0.10,725,0.25,-425,-0.15,7225,0.01
32,Exit long,2025-06-03 16:15,Close entry(s) order Long trade,1.13815,2,285275,-737.5,-0.26,412.5,0.14,-962.5,-0.34,6487.5,0.01
32,Entry long,2025-06-03 05:00,Long trade,1.1411,2,285275,-737.5,-0.26,412.5,0.14,-962.5,-0.34,6487.5,0.01
33,Exit long,2025-06-06 16:15,Close entry(s) order Long trade,1.1402,2,285275,-225,-0.08,650,0.23,-837.5,-0.29,6262.5,0.01
33,Entry long,2025-06-06 08:00,Long trade,1.1411,2,285275,-225,-0.08,650,0.23,-837.5,-0.29,6262.5,0.01
34,Exit long,2025-06-09 16:15,Close entry(s) order Long trade,1.143,2,285325,425,0.15,587.5,0.21,-537.5,-0.19,6687.5,0.01
34,Entry long,2025-06-09 08:00,Long trade,1.1413,2,285325,425,0.15,587.5,0.21,-537.5,-0.19,6687.5,0.01
35,Exit short,2025-06-12 06:45,Exit Short,1.16095,2,289212.5,-1025,-0.35,0,0.00,-1025,-0.35,5662.5,0.01
35,Entry short,2025-06-12 05:45,Short trade,1.15685,2,289212.5,-1025,-0.35,0,0.00,-1025,-0.35,5662.5,0.01
36,Exit short,2025-06-12 08:45,Close entry(s) order Short trade,1.16295,2,290100,-637.5,-0.22,450,0.16,-737.5,-0.25,5025,0.01
36,Entry short,2025-06-12 07:00,Short trade,1.1604,2,290100,-637.5,-0.22,450,0.16,-737.5,-0.25,5025,0.01
37,Exit long,2025-06-13 16:15,Close entry(s) order Long trade,1.16145,2,289362.5,1000,0.35,1662.5,0.57,-362.5,-0.13,6025,0.01
37,Entry long,2025-06-13 06:45,Long trade,1.15745,2,289362.5,1000,0.35,1662.5,0.57,-362.5,-0.13,6025,0.01
38,Exit short,2025-06-16 16:15,Close entry(s) order Short trade,1.1629,2,291575,850,0.29,950,0.33,-562.5,-0.19,6875,0.01
38,Entry short,2025-06-16 09:00,Short trade,1.1663,2,291575,850,0.29,950,0.33,-562.5,-0.19,6875,0.01
39,Exit long,2025-06-23 10:15,Exit Long,1.16025,2,288012.5,2050,0.71,2050,0.71,-50,-0.02,8925,0.01
39,Entry long,2025-06-23 05:15,Long trade,1.15205,2,288012.5,2050,0.71,2050,0.71,-50,-0.02,8925,0.01
40,Exit long,2025-06-24 16:15,Close entry(s) order Long trade,1.16745,2,291312.5,550,0.19,1350,0.46,-200,-0.07,9475,0.01
40,Entry long,2025-06-24 03:45,Long trade,1.16525,2,291312.5,550,0.19,1350,0.46,-200,-0.07,9475,0.01
41,Exit long,2025-06-25 16:15,Close entry(s) order Long trade,1.17195,2,291537.5,1450,0.50,1687.5,0.58,-212.5,-0.07,10925,0.01
41,Entry long,2025-06-25 03:45,Long trade,1.16615,2,291537.5,1450,0.50,1687.5,0.58,-212.5,-0.07,10925,0.01
42,Exit short,2025-06-26 16:15,Close entry(s) order Short trade,1.1762,2,295012.5,962.5,0.33,1225,0.42,-175,-0.06,11887.5,0.01
42,Entry short,2025-06-26 04:30,Short trade,1.18005,2,295012.5,962.5,0.33,1225,0.42,-175,-0.06,11887.5,0.01
43,Exit long,2025-07-01 16:15,Close entry(s) order Long trade,1.1855,2,295850,525,0.18,1387.5,0.47,-325,-0.11,12412.5,0.01
43,Entry long,2025-07-01 04:00,Long trade,1.1834,2,295850,525,0.18,1387.5,0.47,-325,-0.11,12412.5,0.01
44,Exit long,2025-07-02 16:15,Close entry(s) order Long trade,1.1856,2,295750,650,0.22,750,0.25,-675,-0.23,13062.5,0.01
44,Entry long,2025-07-02 03:30,Long trade,1.183,2,295750,650,0.22,750,0.25,-675,-0.23,13062.5,0.01
45,Exit long,2025-07-03 16:15,Close entry(s) order Long trade,1.1805,2,294562.5,562.5,0.19,1600,0.54,-175,-0.06,13625,0.01
45,Entry long,2025-07-03 08:45,Long trade,1.17825,2,294562.5,562.5,0.19,1600,0.54,-175,-0.06,13625,0.01
46,Exit long,2025-07-07 12:45,Exit Long,1.1761,2,295050,-1025,-0.35,150,0.05,-1025,-0.35,12600,0.01
46,Entry long,2025-07-07 03:30,Long trade,1.1802,2,295050,-1025,-0.35,150,0.05,-1025,-0.35,12600,0.01
47,Exit long,2025-07-08 16:15,Close entry(s) order Long trade,1.1783,2,294325,250,0.08,287.5,0.10,-900,-0.31,12850,0.01
47,Entry long,2025-07-08 08:00,Long trade,1.1773,2,294325,250,0.08,287.5,0.10,-900,-0.31,12850,0.01
48,Exit long,2025-07-10 16:15,Close entry(s) order Long trade,1.17475,2,293700,-12.5,0.00,62.5,0.02,-862.5,-0.29,12837.5,0.01
48,Entry long,2025-07-10 09:30,Long trade,1.1748,2,293700,-12.5,0.00,62.5,0.02,-862.5,-0.29,12837.5,0.01
49,Exit long,2025-07-15 10:30,Exit Long,1.16665,2,292687.5,-1025,-0.35,0,0.00,-1025,-0.35,11812.5,0.01
49,Entry long,2025-07-15 09:30,Long trade,1.17075,2,292687.5,-1025,-0.35,0,0.00,-1025,-0.35,11812.5,0.01
50,Exit long,2025-07-16 11:15,Exit Long,1.17235,2,291037.5,2050,0.70,2050,0.70,-787.5,-0.27,13862.5,0.01
50,Entry long,2025-07-16 08:15,Long trade,1.16415,2,291037.5,2050,0.70,2050,0.70,-787.5,-0.27,13862.5,0.01
51,Exit long,2025-07-17 16:15,Close entry(s) order Long trade,1.16425,2,290587.5,475,0.16,612.5,0.21,-550,-0.19,14337.5,0.01
51,Entry long,2025-07-17 07:15,Long trade,1.16235,2,290587.5,475,0.16,612.5,0.21,-550,-0.19,14337.5,0.01
52,Exit short,2025-07-18 16:15,Close entry(s) order Short trade,1.1671,2,292237.5,462.5,0.16,700,0.24,-675,-0.23,14800,0.01
52,Entry short,2025-07-18 07:00,Short trade,1.16895,2,292237.5,462.5,0.16,700,0.24,-675,-0.23,14800,0.01
53,Exit short,2025-07-21 10:30,Exit Short,1.1736,2,292375,-1025,-0.35,450,0.15,-1025,-0.35,13775,0.01
53,Entry short,2025-07-21 04:30,Short trade,1.1695,2,292375,-1025,-0.35,450,0.15,-1025,-0.35,13775,0.01
54,Exit long,2025-07-23 16:15,Close entry(s) order Long trade,1.18155,2,293950,1437.5,0.49,1500,0.51,-125,-0.04,15212.5,0.02
54,Entry long,2025-07-23 09:30,Long trade,1.1758,2,293950,1437.5,0.49,1500,0.51,-125,-0.04,15212.5,0.02
55,Exit long,2025-07-24 16:15,Close entry(s) order Long trade,1.17985,2,294925,37.5,0.01,800,0.27,-650,-0.22,15250,0.02
55,Entry long,2025-07-24 03:30,Long trade,1.1797,2,294925,37.5,0.01,800,0.27,-650,-0.22,15250,0.02
56,Exit long,2025-07-25 16:15,Close entry(s) order Long trade,1.17795,2,293950,537.5,0.18,712.5,0.24,-387.5,-0.13,15787.5,0.02
56,Entry long,2025-07-25 07:15,Long trade,1.1758,2,293950,537.5,0.18,712.5,0.24,-387.5,-0.13,15787.5,0.02
57,Exit long,2025-07-29 16:15,Close entry(s) order Long trade,1.15885,2,289212.5,500,0.17,725,0.25,-312.5,-0.11,16287.5,0.02
57,Entry long,2025-07-29 08:15,Long trade,1.15685,2,289212.5,500,0.17,725,0.25,-312.5,-0.11,16287.5,0.02
58,Exit long,2025-07-30 08:30,Exit Long,1.1525,2,289150,-1025,-0.35,112.5,0.04,-1025,-0.35,15262.5,0.02
58,Entry long,2025-07-30 07:15,Long trade,1.1566,2,289150,-1025,-0.35,112.5,0.04,-1025,-0.35,15262.5,0.02
59,Exit long,2025-07-31 16:15,Close entry(s) order Long trade,1.1446,2,286025,125,0.04,1062.5,0.37,-50,-0.02,15387.5,0.02
59,Entry long,2025-07-31 09:15,Long trade,1.1441,2,286025,125,0.04,1062.5,0.37,-50,-0.02,15387.5,0.02
60,Exit long,2025-08-01 08:30,Exit Long,1.15115,2,285737.5,2050,0.72,2050,0.72,-137.5,-0.05,17437.5,0.02
60,Entry long,2025-08-01 05:30,Long trade,1.14295,2,285737.5,2050,0.72,2050,0.72,-137.5,-0.05,17437.5,0.02
61,Exit long,2025-08-04 16:15,Close entry(s) order Long trade,1.1604,2,289662.5,437.5,0.15,862.5,0.30,-112.5,-0.04,17875,0.02
61,Entry long,2025-08-04 04:30,Long trade,1.15865,2,289662.5,437.5,0.15,862.5,0.30,-112.5,-0.04,17875,0.02
62,Exit long,2025-08-05 16:15,Close entry(s) order Long trade,1.16045,2,289000,1112.5,0.38,1450,0.50,-25,-0.01,18987.5,0.02
62,Entry long,2025-08-05 07:30,Long trade,1.156,2,289000,1112.5,0.38,1450,0.50,-25,-0.01,18987.5,0.02
63,Exit short,2025-08-06 11:45,Exit Short,1.1678,2,290925,-1025,-0.35,212.5,0.07,-1025,-0.35,17962.5,0.02
63,Entry short,2025-08-06 06:45,Short trade,1.1637,2,290925,-1025,-0.35,212.5,0.07,-1025,-0.35,17962.5,0.02
64,Exit short,2025-08-07 11:00,Exit Short,1.16405,2,293062.5,2050,0.70,2050,0.70,-112.5,-0.04,20012.5,0.02
64,Entry short,2025-08-07 04:00,Short trade,1.17225,2,293062.5,2050,0.70,2050,0.70,-112.5,-0.04,20012.5,0.02
65,Exit long,2025-08-11 10:15,Exit Long,1.1628,2,291725,-1025,-0.35,150,0.05,-1025,-0.35,18987.5,0.02
65,Entry long,2025-08-11 05:15,Long trade,1.1669,2,291725,-1025,-0.35,150,0.05,-1025,-0.35,18987.5,0.02
66,Exit short,2025-08-13 16:15,Close entry(s) order Short trade,1.17275,2,293587.5,400,0.14,625,0.21,-325,-0.11,19387.5,0.02
66,Entry short,2025-08-13 04:15,Short trade,1.17435,2,293587.5,400,0.14,625,0.21,-325,-0.11,19387.5,0.02
67,Exit long,2025-08-14 16:15,Close entry(s) order Long trade,1.1673,2,292350,-525,-0.18,662.5,0.23,-987.5,-0.34,18862.5,0.02
67,Entry long,2025-08-14 04:45,Long trade,1.1694,2,292350,-525,-0.18,662.5,0.23,-987.5,-0.34,18862.5,0.02
68,Exit short,2025-08-15 16:15,Close entry(s) order Short trade,1.17305,2,292700,-562.5,-0.19,287.5,0.10,-750,-0.26,18300,0.02
68,Entry short,2025-08-15 04:00,Short trade,1.1708,2,292700,-562.5,-0.19,287.5,0.10,-750,-0.26,18300,0.02
69,Exit long,2025-08-18 16:15,Close entry(s) order Long trade,1.1689,2,292850,-625,-0.21,0,0.00,-912.5,-0.31,17675,0.02
69,Entry long,2025-08-18 03:45,Long trade,1.1714,2,292850,-625,-0.21,0,0.00,-912.5,-0.31,17675,0.02
70,Exit long,2025-08-27 16:15,Close entry(s) order Long trade,1.16475,2,290225,962.5,0.33,1225,0.42,-512.5,-0.18,18637.5,0.02
70,Entry long,2025-08-27 04:00,Long trade,1.1609,2,290225,962.5,0.33,1225,0.42,-512.5,-0.18,18637.5,0.02
71,Exit short,2025-08-28 16:15,Close entry(s) order Short trade,1.16925,2,292337.5,25,0.01,575,0.20,-400,-0.14,18662.5,0.02
71,Entry short,2025-08-28 08:30,Short trade,1.16935,2,292337.5,25,0.01,575,0.20,-400,-0.14,18662.5,0.02
72,Exit long,2025-09-02 16:15,Close entry(s) order Long trade,1.16515,2,291300,-12.5,0.00,1025,0.35,-725,-0.25,18650,0.02
72,Entry long,2025-09-02 05:00,Long trade,1.1652,2,291300,-12.5,0.00,1025,0.35,-725,-0.25,18650,0.02
73,Exit long,2025-09-04 16:15,Close entry(s) order Long trade,1.1657,2,291012.5,412.5,0.14,562.5,0.19,-100,-0.03,19062.5,0.02
73,Entry long,2025-09-04 08:30,Long trade,1.16405,2,291012.5,412.5,0.14,562.5,0.19,-100,-0.03,19062.5,0.02
74,Exit short,2025-09-05 08:30,Exit Short,1.1747,2,292650,-1025,-0.35,112.5,0.04,-1025,-0.35,18037.5,0.02
74,Entry short,2025-09-05 08:00,Short trade,1.1706,2,292650,-1025,-0.35,112.5,0.04,-1025,-0.35,18037.5,0.02
